,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
120,0.0,0.35,0.2,0.8,0.0,4.1,30.9,2.55,34.5
121,0.0,0.35,0.2,0.85,60.0,8.1,25.0,-0.1,24.6
122,0.0,0.35,0.2,0.9,50.0,4.3,20.4,2.6,24.0
123,0.0,0.35,0.2,0.95,20.0,8.6,29.6,-2.15,26.9
124,0.0,0.35,0.2,1.0,10.0,1.9,25.1,-1.65,29.5
125,1.0,0.15,0.0,0.8,40.0,2.2,30.1,8.45,26.6
126,1.0,0.15,0.0,0.85,10.0,6.5,28.0,-0.65,25.6
127,1.0,0.15,0.0,0.9,90.0,0.8,19.8,10.7,18.8
128,1.0,0.15,0.0,0.95,20.0,2.2,26.6,3.85,24.5
129,1.0,0.15,0.0,1.0,30.0,11.3,20.2,-2.35,26.5
130,1.0,0.15,0.05,0.8,60.0,5.0,31.0,4.5,24.4
131,1.0,0.15,0.05,0.85,20.0,4.2,28.9,-0.6,27.9
132,1.0,0.15,0.05,0.9,0.0,0.9,20.6,1.55,28.0
133,1.0,0.15,0.05,0.95,80.0,1.8,27.4,12.5,22.7
134,1.0,0.15,0.05,1.0,20.0,1.8,22.6,-0.25,26.4
135,1.0,0.15,0.1,0.8,40.0,4.2,26.5,3.15,25.4
136,1.0,0.15,0.1,0.85,30.0,5.9,28.5,1.95,26.1
137,1.0,0.15,0.1,0.9,20.0,5.6,26.9,4.5,27.5
138,1.0,0.15,0.1,0.95,20.0,2.3,30.2,4.8,26.9
139,1.0,0.15,0.1,1.0,40.0,1.2,21.3,3.55,22.1
140,1.0,0.15,0.15,0.8,60.0,2.1,25.4,10.5,21.5
141,1.0,0.15,0.15,0.85,40.0,7.5,23.2,0.45,24.5
142,1.0,0.15,0.15,0.9,40.0,3.3,24.5,3.85,23.7
143,1.0,0.15,0.15,0.95,20.0,6.5,33.3,-3.05,26.4
144,1.0,0.15,0.15,1.0,30.0,5.7,28.8,-0.1,28.3
145,1.0,0.15,0.2,0.8,20.0,7.5,29.8,-0.8,25.8
146,1.0,0.15,0.2,0.85,80.0,3.0,26.2,4.55,14.0
